"Car_id","Model","Engine","Transmission","Color","Body Style","price ($)"
"C_CND_000036","S40","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Sedan","42000"
"C_CND_000037","Mountaineer","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","SUV","21000"
"C_CND_000038","Park Avenue","DoubleÃ‚Â Overhead Camshaft","Auto","Black","Hatchback","61000"
"C_CND_000039","Montero Sport","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","SUV","39000"
"C_CND_000040","Sentra","DoubleÃ‚Â Overhead Camshaft","Auto","Black","Passenger","16000"
"C_CND_000041","Sebring Coupe","Overhead Camshaft","Manual","Pale White","Sedan","26000"
"C_CND_000042","S80","Overhead Camshaft","Manual","Pale White","Sedan","21000"
"C_CND_000043","Lumina","Overhead Camshaft","Manual","Black","Passenger","42500"
"C_CND_000044","Montero Sport","DoubleÃ‚Â Overhead Camshaft","Auto","Black","Hatchback","45001"
"C_CND_000045","Bonneville","Overhead Camshaft","Manual","Black","Hatchback","36001"
"C_CND_000046","C-Class","Overhead Camshaft","Manual","Pale White","Hatchback","12000"
"C_CND_000047","323i","Overhead Camshaft","Manual","Pale White","Hatchback","21001"
"C_CND_000048","TL","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Hatchback","29000"
"C_CND_000049","Altima","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Hatchback","20000"
"C_CND_000050","DeVille","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","SUV","22000"
"C_CND_000051","Stratus","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Hatchback","31000"
"C_CND_000052","A4","DoubleÃ‚Â Overhead Camshaft","Auto","Black","Hardtop","27000"
"C_CND_000053","Cougar","DoubleÃ‚Â Overhead Camshaft","Auto","Black","Hatchback","33000"
"C_CND_000054","Malibu","Overhead Camshaft","Manual","Pale White","Hardtop","14000"
"C_CND_000055","RL","Overhead Camshaft","Manual","Pale White","SUV","17000"
"C_CND_000056","SW","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Passenger","25600"
"C_CND_000057","C70","Overhead Camshaft","Manual","Black","Hatchback","17000"
"C_CND_000058","Mountaineer","Overhead Camshaft","Manual","Pale White","SUV","21000"
"C_CND_000059","C-Class","Overhead Camshaft","Manual","Pale White","Hatchback","12000"
"C_CND_000060","SLK","Overhead Camshaft","Manual","Pale White","Passenger","17000"
"C_CND_000061","Tacoma","Overhead Camshaft","Manual","Black","Hardtop","36000"
"C_CND_000062","C-Class","Overhead Camshaft","Manual","Pale White","Hatchback","17000"
"C_CND_000063","M-Class","Overhead Camshaft","Manual","Pale White","Hatchback","41000"
"C_CND_000064","A6","DoubleÃ‚Â Overhead Camshaft","Auto","Black","SUV","14000"
"C_CND_000065","Intrepid","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Sedan","31100"
"C_CND_000066","Park Avenue","DoubleÃ‚Â Overhead Camshaft","Auto","Black","Hatchback","61000"
"C_CND_000067","Viper","Overhead Camshaft","Manual","Black","SUV","26000"
"C_CND_000068","Sienna","Overhead Camshaft","Manual","Black","Passenger","12000"
"C_CND_000069","S40","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Sedan","42000"
"C_CND_000070","Diamante","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Hatchback","21000"
"C_CND_000071","DeVille","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","SUV","22600"
"C_CND_000072","S-Type","Overhead Camshaft","Manual","Pale White","Passenger","45000"
"C_CND_000073","Eclipse","Overhead Camshaft","Manual","Black","SUV","25000"
"C_CND_000074","Contour","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Sedan","62000"
"C_CND_000075","Jetta","DoubleÃ‚Â Overhead Camshaft","Auto","Black","Passenger","22700"
"C_CND_000076","Montero Sport","DoubleÃ‚Â Overhead Camshaft","Auto","Black","SUV","45000"
"C_CND_000077","Town car","Overhead Camshaft","Manual","Black","Hatchback","17000"
"C_CND_000078","Focus","Overhead Camshaft","Manual","Black","Hardtop","49000"
"C_CND_000079","A6","Overhead Camshaft","Manual","Black","SUV","15000"
"C_CND_000080","TL","DoubleÃ‚Â Overhead Camshaft","Auto","Black","Hatchback","28000"
"C_CND_000081","Pathfinder","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Hardtop","46000"
"C_CND_000082","Mustang","Overhead Camshaft","Manual","Pale White","Hatchback","43000"
"C_CND_000083","Cutlass","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Sedan","41000"
"C_CND_000084","Corvette","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","SUV","45000"
"C_CND_000085","Impala","Overhead Camshaft","Manual","Pale White","Hatchback","22001"
"C_CND_000086","Cabrio","Overhead Camshaft","Manual","Pale White","Sedan","25001"
"C_CND_000087","Dakota","Overhead Camshaft","Manual","Pale White","Sedan","12800"
"C_CND_000088","300M","DoubleÃ‚Â Overhead Camshaft","Auto","Black","SUV","26000"
"C_CND_000089","328i","DoubleÃ‚Â Overhead Camshaft","Auto","Black","Sedan","18000"
"C_CND_000090","Bravada","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Hatchback","19000"
"C_CND_000091","Maxima","Overhead Camshaft","Manual","Pale White","Sedan","22500"
"C_CND_000092","Ram Pickup","Overhead Camshaft","Manual","Pale White","Hardtop","21001"
"C_CND_000093","Concorde","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Hardtop","46500"
"C_CND_000094","300M","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","SUV","16000"
"C_CND_000095","V70","DoubleÃ‚Â Overhead Camshaft","Auto","Black","Passenger","39000"
"C_CND_000096","Quest","Overhead Camshaft","Manual","Black","SUV","19000"
"C_CND_000097","LHS","DoubleÃ‚Â Overhead Camshaft","Auto","Black","Hatchback","26000"
"C_CND_000098","Accord","Overhead Camshaft","Manual","Black","Sedan","43000"
"C_CND_000099","Maxima","Overhead Camshaft","Manual","Pale White","Sedan","54000"
"C_CND_000100","Durango","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","SUV","22000"
"C_CND_000101","ES300","DoubleÃ‚Â Overhead Camshaft","Auto","Black","SUV","16001"
"C_CND_000102","328i","DoubleÃ‚Â Overhead Camshaft","Auto","Black","Sedan","16001"
"C_CND_000103","Land Cruiser","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","SUV","12000"
"C_CND_000104","SL-Class","Overhead Camshaft","Manual","Black","Hardtop","38000"
"C_CND_000105","Explorer","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Hatchback","42000"
"C_CND_000106","Pathfinder","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Hatchback","21000"
"C_CND_000107","C70","DoubleÃ‚Â Overhead Camshaft","Auto","Black","Hatchback","49000"
"C_CND_000108","Prizm","Overhead Camshaft","Manual","Pale White","Hardtop","21200"
"C_CND_000109","Grand Marquis","Overhead Camshaft","Manual","Pale White","SUV","71000"
"C_CND_000110","Camaro","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Sedan","17000"
"C_CND_000111","Outback","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","SUV","57001"
"C_CND_000112","Park Avenue","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Hatchback","62001"
"C_CND_000113","Taurus","Overhead Camshaft","Manual","Black","SUV","69001"
"C_CND_000114","Cavalier","Overhead Camshaft","Manual","Pale White","SUV","20001"
"C_CND_000115","A4","DoubleÃ‚Â Overhead Camshaft","Auto","Black","Hardtop","27000"
"C_CND_000116","Focus","Overhead Camshaft","Manual","Black","Hardtop","49000"
"C_CND_000117","Diamante","Overhead Camshaft","Manual","Black","Hatchback","49000"
"C_CND_000118","GS400","DoubleÃ‚Â Overhead Camshaft","Auto","Black","Hatchback","12000"
"C_CND_000119","M-Class","Overhead Camshaft","Manual","Pale White","Hatchback","25000"
"C_CND_000120","Concorde","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Hatchback","42000"
"C_CND_000121","Sebring Coupe","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Sedan","19000"
"C_CND_000122","Monte Carlo","Overhead Camshaft","Manual","Pale White","Hatchback","26750"
"C_CND_000123","Eldorado","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Passenger","31000"
"C_CND_000124","LW","Overhead Camshaft","Manual","Pale White","Hatchback","49000"
"C_CND_000125","Sonata","Overhead Camshaft","Manual","Black","SUV","15000"
"C_CND_000126","Sable","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Sedan","26000"
"C_CND_000127","SL-Class","Overhead Camshaft","Manual","Pale White","Hardtop","17000"
"C_CND_000128","C70","Overhead Camshaft","Manual","Pale White","Hatchback","24000"
"C_CND_000129","Metro","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Passenger","19000"
"C_CND_000130","S-Type","Overhead Camshaft","Manual","Pale White","Passenger","20000"
"C_CND_000131","TL","DoubleÃ‚Â Overhead Camshaft","Auto","Black","Hatchback","28501"
"C_CND_000132","323i","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Hatchback","15500"
"C_CND_000133","Voyager","Overhead Camshaft","Manual","Pale White","Passenger","20000"
"C_CND_000134","Maxima","Overhead Camshaft","Manual","Pale White","Sedan","29000"
"C_CND_000135","Cirrus","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Passenger","12500"
"C_CND_000136","Grand Marquis","Overhead Camshaft","Manual","Pale White","SUV","16001"
"C_CND_000137","ES300","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","SUV","27250"
"C_CND_000138","Intrepid","Overhead Camshaft","Manual","Black","Sedan","11000"
"C_CND_000139","Maxima","Overhead Camshaft","Manual","Pale White","Sedan","22001"
"C_CND_000140","Avenger","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Passenger","22000"
"C_CND_000141","Corvette","Overhead Camshaft","Manual","Pale White","SUV","22000"
"C_CND_000142","RL","Overhead Camshaft","Manual","Black","SUV","18000"
"C_CND_000143","Odyssey","Overhead Camshaft","Manual","Pale White","Passenger","27000"
"C_CND_000144","Intrigue","Overhead Camshaft","Manual","Pale White","SUV","25000"
"C_CND_000145","RL","Overhead Camshaft","Manual","Pale White","SUV","26500"
"C_CND_000146","Taurus","Overhead Camshaft","Manual","Black","SUV","69000"
"C_CND_000147","Silhouette","Overhead Camshaft","Manual","Pale White","Sedan","14150"
"C_CND_000148","5-Sep","Overhead Camshaft","Manual","Pale White","Hatchback","28000"
"C_CND_000149","Civic","Overhead Camshaft","Manual","Black","Hatchback","43000"
"C_CND_000150","528i","Overhead Camshaft","Manual","Pale White","SUV","25000"
"C_CND_000151","Silhouette","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Sedan","12000"
"C_CND_000152","LS400","DoubleÃ‚Â Overhead Camshaft","Auto","Black","Sedan","39000"
"C_CND_000153","Eldorado","DoubleÃ‚Â Overhead Camshaft","Auto","Black","Passenger","60500"
"C_CND_000154","Jetta","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Passenger","16000"
"C_CND_000155","Bonneville","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Hatchback","19000"
"C_CND_000156","Monte Carlo","Overhead Camshaft","Manual","Black","Hatchback","44000"
"C_CND_000157","Aurora","Overhead Camshaft","Manual","Pale White","Passenger","71000"
"C_CND_000158","Mustang","Overhead Camshaft","Manual","Pale White","Hatchback","25000"
"C_CND_000159","Diamante","DoubleÃ‚Â Overhead Camshaft","Auto","Black","Hatchback","18000"
"C_CND_000160","Expedition","Overhead Camshaft","Manual","Pale White","SUV","22000"
"C_CND_000161","M-Class","Overhead Camshaft","Manual","Pale White","Hardtop","41000"
"C_CND_000162","Focus","Overhead Camshaft","Manual","Black","Hardtop","49000"
"C_CND_000163","Jetta","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Passenger","19000"
"C_CND_000164","528i","Overhead Camshaft","Manual","Black","SUV","21000"
"C_CND_000165","Forester","DoubleÃ‚Â Overhead Camshaft","Auto","Black","Hardtop","22000"
"C_CND_000166","Breeze","Overhead Camshaft","Manual","Pale White","SUV","16000"
"C_CND_000167","Beetle","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","SUV","45000"
"C_CND_000168","Intrepid","Overhead Camshaft","Manual","Black","Sedan","11650"
"C_CND_000169","Elantra","Overhead Camshaft","Manual","Pale White","Sedan","26000"
"C_CND_000170","SW","Overhead Camshaft","Manual","Black","Passenger","36000"
"C_CND_000171","Continental","Overhead Camshaft","Manual","Pale White","Passenger","82000"
"C_CND_000172","Camaro","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Sedan","24000"
"C_CND_000173","Pathfinder","Overhead Camshaft","Manual","Pale White","Hardtop","11800"
"C_CND_000174","RAV4","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Hatchback","27500"
"C_CND_000175","Villager","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Passenger","36000"
"C_CND_000176","S-Type","Overhead Camshaft","Manual","Pale White","Passenger","20000"
"C_CND_000177","SLK","Overhead Camshaft","Manual","Pale White","Passenger","17000"
"C_CND_000178","Jetta","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Passenger","16900"
"C_CND_000179","Regal","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Passenger","46500"
"C_CND_000180","C-Class","DoubleÃ‚Â Overhead Camshaft","Auto","Black","Hatchback","14000"
"C_CND_000181","Sienna","Overhead Camshaft","Manual","Black","Passenger","16000"
"C_CND_000182","S70","Overhead Camshaft","Manual","Black","Hardtop","22000"
"C_CND_000183","Altima","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Hatchback","20000"
"C_CND_000184","Celica","Overhead Camshaft","Manual","Pale White","SUV","14200"
"C_CND_000185","LS","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Sedan","51000"
"C_CND_000186","Diamante","Overhead Camshaft","Manual","Pale White","Hatchback","19000"
"C_CND_000187","GS400","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Hatchback","31000"
"C_CND_000188","Carrera Cabrio","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Passenger","32000"
"C_CND_000189","Ram Van","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Hatchback","31000"
"C_CND_000190","Silhouette","Overhead Camshaft","Manual","Pale White","Sedan","14000"
"C_CND_000191","A6","Overhead Camshaft","Manual","Black","SUV","25000"
"C_CND_000192","Cutlass","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Sedan","46000"
"C_CND_000193","S-Class","DoubleÃ‚Â Overhead Camshaft","Auto","Black","SUV","39500"
"C_CND_000194","3000GT","DoubleÃ‚Â Overhead Camshaft","Auto","Black","Sedan","39000"
"C_CND_000195","528i","DoubleÃ‚Â Overhead Camshaft","Auto","Black","SUV","31000"
"C_CND_000196","Malibu","Overhead Camshaft","Manual","Pale White","Hatchback","41000"
"C_CND_000197","300M","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","SUV","22000"
"C_CND_000198","Mustang","Overhead Camshaft","Manual","Black","Hatchback","22000"
"C_CND_000199","Viper","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","SUV","41000"
"C_CND_000200","S-Type","Overhead Camshaft","Manual","Pale White","Passenger","21000"
"C_CND_000201","SLK","Overhead Camshaft","Manual","Black","Passenger","26000"
"C_CND_000202","E-Class","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Sedan","31000"
"C_CND_000203","Grand Am","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","SUV","19000"
"C_CND_000204","LW","Overhead Camshaft","Manual","Pale White","Hatchback","13000"
"C_CND_000205","SC","DoubleÃ‚Â Overhead Camshaft","Auto","Black","Hardtop","33000"
"C_CND_000206","Sable","Overhead Camshaft","Manual","Pale White","Sedan","61000"
"C_CND_000207","Land Cruiser","DoubleÃ‚Â Overhead Camshaft","Auto","Black","SUV","21000"
"C_CND_000208","Maxima","Overhead Camshaft","Manual","Pale White","Sedan","16000"
"C_CND_000209","Bravada","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Hatchback","15000"
"C_CND_000210","Passat","Overhead Camshaft","Manual","Pale White","Hatchback","27000"
"C_CND_000211","Passat","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Hatchback","13500"
"C_CND_000212","Xterra","DoubleÃ‚Â Overhead Camshaft","Auto","Black","Passenger","9250"
"C_CND_000213","Mustang","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Hatchback","31000"
"C_CND_000214","Passat","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Hatchback","32000"
"C_CND_000215","S40","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Sedan","29500"
"C_CND_000216","Villager","Overhead Camshaft","Manual","Pale White","Passenger","14000"
"C_CND_000217","Frontier","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Hatchback","18501"
"C_CND_000218","RL","Overhead Camshaft","Manual","Pale White","SUV","17001"
"C_CND_000219","Montero Sport","Overhead Camshaft","Manual","Pale White","SUV","12500"
"C_CND_000220","528i","Overhead Camshaft","Manual","Black","SUV","21000"
"C_CND_000221","528i","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","SUV","62000"
"C_CND_000222","Crown Victoria","DoubleÃ‚Â Overhead Camshaft","Auto","Black","Passenger","11000"
"C_CND_000223","Frontier","Overhead Camshaft","Manual","Pale White","Hatchback","20000"
"C_CND_000224","Accord","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Sedan","21200"
"C_CND_000225","Camry","Overhead Camshaft","Manual","Black","Hatchback","29000"
"C_CND_000226","Eldorado","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Passenger","17000"
"C_CND_000227","ES300","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Hatchback","27000"
"C_CND_000228","S40","Overhead Camshaft","Manual","Black","Sedan","36000"
"C_CND_000229","Navigator","DoubleÃ‚Â Overhead Camshaft","Auto","Black","Sedan","19000"
"C_CND_000230","Frontier","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Hatchback","18000"
"C_CND_000231","Prizm","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Hardtop","15000"
"C_CND_000232","Tacoma","Overhead Camshaft","Manual","Pale White","Hardtop","24000"
"C_CND_000233","Sentra","DoubleÃ‚Â Overhead Camshaft","Auto","Black","Passenger","16000"
"C_CND_000234","Crown Victoria","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Passenger","29000"
"C_CND_000235","Bonneville","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Hatchback","19000"
"C_CND_000236","CL500","Overhead Camshaft","Manual","Black","SUV","22000"
"C_CND_000237","Viper","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","SUV","23500"
"C_CND_000238","Galant","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Passenger","36000"
"C_CND_000239","Bonneville","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Hatchback","19000"
"C_CND_000240","Tacoma","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Hardtop","53000"
"C_CND_000241","Escalade","DoubleÃ‚Â Overhead Camshaft","Auto","Black","Sedan","28000"
"C_CND_000242","Silhouette","DoubleÃ‚Â Overhead Camshaft","Auto","Black","Sedan","60750"
"C_CND_000243","Prizm","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Hardtop","42000"
"C_CND_000244","Eldorado","Overhead Camshaft","Manual","Pale White","Passenger","31000"
"C_CND_000245","Contour","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Sedan","62000"
"C_CND_000246","S-Class","DoubleÃ‚Â Overhead Camshaft","Auto","Black","SUV","39500"
"C_CND_000247","Tacoma","Overhead Camshaft","Manual","Pale White","Hardtop","24001"
"C_CND_000248","C-Class","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Hatchback","15000"
"C_CND_000249","Quest","Overhead Camshaft","Manual","Black","SUV","19000"
"C_CND_000250","Golf","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Hardtop","35000"
"C_CND_000251","Sonata","Overhead Camshaft","Manual","Pale White","SUV","21000"
"C_CND_000252","Altima","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Hatchback","20000"
"C_CND_000253","Ranger","Overhead Camshaft","Manual","Black","Hatchback","18500"
"C_CND_000254","Corvette","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","SUV","45000"
"C_CND_000255","Silhouette","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Sedan","12000"
"C_CND_000256","Prizm","Overhead Camshaft","Manual","Pale White","SUV","21500"
"C_CND_000257","S40","Overhead Camshaft","Manual","Pale White","Sedan","17000"
"C_CND_000258","Corvette","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","SUV","46000"
"C_CND_000259","Corolla","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Passenger","41100"
"C_CND_000260","RAV4","Overhead Camshaft","Manual","Pale White","Hatchback","22500"
"C_CND_000261","Grand Marquis","DoubleÃ‚Â Overhead Camshaft","Auto","Black","SUV","9000"
"C_CND_000262","Cavalier","Overhead Camshaft","Manual","Pale White","SUV","20200"
"C_CND_000263","Maxima","Overhead Camshaft","Manual","Pale White","Sedan","59000"
"C_CND_000264","S70","Overhead Camshaft","Manual","Black","SUV","22000"
"C_CND_000265","Outback","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","SUV","57000"
"C_CND_000266","Corvette","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","SUV","25500"
"C_CND_000267","RL","Overhead Camshaft","Manual","Black","SUV","18000"
"C_CND_000268","Odyssey","Overhead Camshaft","Manual","Pale White","Passenger","27000"
"C_CND_000269","RAV4","Overhead Camshaft","Manual","Pale White","Hatchback","22000"
"C_CND_000270","Tacoma","Overhead Camshaft","Manual","Pale White","Hatchback","82000"
"C_CND_000271","Prowler","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Hatchback","15000"
"C_CND_000272","Camry","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Hatchback","31000"
"C_CND_000273","Passat","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Hatchback","13000"
"C_CND_000274","Cabrio","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Sedan","17000"
"C_CND_000275","Sebring Coupe","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Sedan","46000"
"C_CND_000276","Windstar","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Sedan","19100"
"C_CND_000277","Durango","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","SUV","10000"
"C_CND_000278","Continental","Overhead Camshaft","Manual","Black","Passenger","42000"
"C_CND_000279","Diamante","DoubleÃ‚Â Overhead Camshaft","Auto","Black","Hatchback","18000"
"C_CND_000280","Celica","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","SUV","25000"
"C_CND_000281","Jetta","DoubleÃ‚Â Overhead Camshaft","Auto","Black","Passenger","22000"
"C_CND_000282","GTI","Overhead Camshaft","Manual","Black","SUV","25000"
"C_CND_000283","Park Avenue","Overhead Camshaft","Manual","Pale White","Hatchback","23000"
"C_CND_000284","Jetta","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Passenger","33000"
"C_CND_000285","Silhouette","Overhead Camshaft","Manual","Pale White","Sedan","25000"
"C_CND_000286","Accord","Overhead Camshaft","Manual","Black","Sedan","43000"
"C_CND_000287","328i","Overhead Camshaft","Manual","Pale White","Sedan","21001"
"C_CND_000288","Bonneville","Overhead Camshaft","Manual","Pale White","Hatchback","11501"
"C_CND_000289","Passat","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Hatchback","32000"
"C_CND_000290","Sonata","Overhead Camshaft","Manual","Black","SUV","20000"
"C_CND_000291","Passat","DoubleÃ‚Â Overhead Camshaft","Auto","Black","Hatchback","9000"
"C_CND_000292","Crown Victoria","DoubleÃ‚Â Overhead Camshaft","Auto","Pale White","Passenger","29000"
"C_CND_000293","C-Class","Overhead Camshaft","Manual","Pale White","Hatchback","17000"
"C_CND_000294","Passport","Overhead Camshaft","Manual","Pale White","Hatchback","27000"
"C_CND_000295","Odyssey","Overhead Camshaft","Manual","Pale White","Passenger","54000"
